107101926830,嘉定,1室2厅1厨1卫,2012 ,78.57㎡,南,毛坯,265,33728,41,2019.12.09 ,18
107100326562,浦东,4室3厅1厨3卫,2006 ,106.35㎡,南,精装,445,41843,561,2019.12.09 ,25
107101931064,松江,2室2厅1厨1卫,2006 ,91.16㎡,南,精装,288,31593,39,2019.12.09 ,13
107101736431,闵行,3室2厅1厨2卫,2002 ,157.7㎡,南,简装,930,58973,92,2019.12.09 ,17
107101974520,宝山,2室2厅1厨1卫,2014 ,89.77㎡,南 北,精装,332,36984,26,2019.12.09 ,6
107102052027,嘉定,3室2厅1厨1卫,2004 ,110.75㎡,南,其他,308,27811,2,2019.12.09 ,2
107101838406,浦东,2室2厅1厨1卫,2011 ,87.61㎡,南,精装,380,43375,61,2019.12.09 ,18
107101678373,浦东,3室2厅1厨1卫,1998 ,85.73㎡,南,精装,480,55990,108,2019.12.09 ,28
107101969175,宝山,3室2厅2厨1卫,2007 ,128.64㎡,南 北,简装,507,39397,28,2019.12.09 ,5
107101806534,浦东,1室1厅1厨1卫,1993 ,41.19㎡,南,精装,205,49770,71,2019.12.09 ,31
107101744053,松江,1室1厅1厨1卫,2014 ,53.57㎡,南 北,简装,156,29121,89,2019.12.09 ,13
107102011225,徐汇,2室1厅0厨1卫,1994 ,49.2㎡,南,精装,256,52033,15,2019.12.09 ,12
107101821302,普陀,2室0厅1厨1卫,1980 ,42.13㎡,南,精装,245,58154,66,2019.12.09 ,3
107101961644,奉贤,2室1厅1厨1卫,1989 ,71.84㎡,南 北,简装,129,17957,30,2019.12.09 ,7
107101221510,浦东,2室2厅1厨1卫,2010 ,79.41㎡,南 北,毛坯,286,36016,240,2019.12.09 ,199
107100053647,普陀,1室0厅1厨1卫,1990 ,34.11㎡,南,简装,320,93815,647,2019.12.09 ,46
107101796317,普陀,2室1厅1厨1卫,1975 ,60.92㎡,南,简装,300,49245,74,2019.12.09 ,1
107100975183,浦东,2室1厅1厨1卫,1991 ,65.72㎡,南,精装,380,57822,324,2019.12.09 ,79
107101312162,嘉定,3室2厅1厨2卫,未知 ,110㎡,南,精装,328,29819,212,2019.12.09 ,26
107102034688,宝山,2室1厅1厨1卫,2014 ,67.8㎡,南,毛坯,298,43953,8,2019.12.09 ,3
107101666857,闵行,2室1厅1厨1卫,1995 ,65.37㎡,南,简装,350,53542,110,2019.12.09 ,23
107101732363,浦东,1室2厅1厨1卫,2007 ,63.67㎡,南,精装,225,35339,92,2019.12.09 ,3
107101969024,宝山,2室2厅1厨1卫,2007 ,101.48㎡,南,简装,322,31731,28,2019.12.09 ,15
107101174370,松江,3室2厅1厨1卫,2010 ,90.35㎡,南,精装,313,34644,254,2019.12.09 ,15
107101891645,杨浦,2室1厅1厨1卫,2002 ,62.12㎡,南,简装,394,63426,51,2019.12.09 ,1
107101803344,长宁,2室1厅1厨1卫,1999 ,61.92㎡,南,精装,328,52972,72,2019.12.09 ,10
107101605918,虹口,1室1厅1厨1卫,1985 ,37.53㎡,南,精装,218,58087,128,2019.12.09 ,47
107100051507,浦东,2室1厅1厨1卫,2001 ,68.32㎡,南,简装,249,36373,647,2019.12.09 ,84
107101332325,奉贤,2室1厅1厨1卫,1994 ,82.56㎡,南,简装,150,18109,205,2019.12.09 ,73
107102055560,宝山,车位,未知 ,21.27㎡,东南,其他,25,11754,1,2019.12.09 ,0
107101887449,徐汇,1室1厅1厨1卫,1994 ,44.23㎡,南,精装,185,41827,52,2019.12.09 ,2
107101943599,浦东,2室1厅1厨1卫,2008 ,73.52㎡,南,精装,264,35909,36,2019.12.09 ,22
107102035379,闵行,2室2厅1厨1卫,1995 ,88.61㎡,南,精装,534,60265,7,2019.12.09 ,1
107102045580,闵行,1室1厅1厨1卫,1987 ,31.85㎡,南,简装,146,45840,4,2019.12.09 ,3
107101721899,闵行,3室2厅1厨1卫,2001 ,112.63㎡,南,简装,685,60819,95,2019.12.09 ,64
